model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
claude,door_open,safe,1,0.54,28.14,safe,271.85,7038.6,7339.1,0,yolo-world,disabled,disabled,0.0,safe,1,5,1002,210,0.006156,"Description: The image shows a large indoor space (appears to be a warehouse or industrial facility) with glass partitions/walls, metal framing, and open ceiling structure with fluorescent lighting; the flight path at ~1m altitude appears largely unobstructed with the nearest structural elements being glass partition frames.
Sensor note: The YOLO ""train"" detection (conf=0.22) is low-confidence and likely a false positive — no train is visible; the ""window"" detection is consistent with the glass partition frames visible on the left edge. Depth readings of 3.2–3.6m are plausible for the nearest glass structures.
Proximity: Closest objects are the glass partition frames, visually estimated at ~1.5–2m to the sides; the forward path appears open beyond that range, consistent with depth_m ~3.2–3.6m readings.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
gpt4o,door_open,safe,1,0.54,28.14,safe,271.85,2487.9,2788.4,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,89,0.00541,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear at ~1m altitude, with no immediate obstacles blocking the flight path.
Sensor note: Consistent with sensor data; the detected train and window do not pose immediate risks.
Proximity: Closest object is the door at approximately 3.2m, consistent with depth_m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,1,0.54,28.14,safe,271.85,3892.4,4192.9,0,yolo-world,disabled,disabled,0.0,caution,0,4,3582,104,0.0006,"Description: The image shows an indoor environment with a clear path visible, but there are several tables and equipment in the area. The lighting appears adequate, but there is some clutter present at table level. 

Sensor note: Consistent with YOLO detections of a train and a window, but the scene appears more cluttered than indicated.

Proximity: The closest object appears to be around 2 meters away, based on visual estimation and depth_m data.

Risk: Caution

Pilot suggested action: HOVER",
gemini,door_open,safe,1,0.54,28.14,safe,271.85,2459.7,2760.2,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,176,0.000132,"Description: The image shows an indoor office or industrial space with a partially open glass door on the right. The flight path appears clear at ~1m altitude, with objects visible further back in the room.
Sensor note: YOLO detected a 'window' which is consistent with the glass door/partition on the right. The 'train' detection is likely a false positive or refers to the general structure in the background, as no actual train is visible. The local detector's brightness assessment is consistent with the image.
Proximity: The closest visible object is the open glass door frame on the right, visually estimated to be around 1-1.5m away. YOLO's 'window' detection at 3.2m seems to refer to the further glass partition rather than the immediate door.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,2,0.47,28.65,safe,272.64,9735.1,10036.9,0,yolo-world,disabled,disabled,0.0,caution,0,3,1002,299,0.007491,"Description: The image shows a large indoor industrial or warehouse-like space with metal shelving/rack structures, glass partitions, and an open ceiling area with fluorescent lighting; the immediate foreground shows structural framing but the mid-level flight corridor (~1m altitude) appears relatively open.
Sensor note: YOLO reports a ""train"" detection at 3.6m with low confidence (0.22) — visually this appears to be shelving/rack structure misclassified; the ""window"" detection at 3.2m is plausible given visible glass partitions. No persons detected visually or by sensors, consistent.
Proximity: Closest physical structures (metal framing/shelving) appear to be approximately 2–3m away based on visual perspective, broadly consistent with YOLO depth readings of 3.2–3.6m.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** While the flight path at ~1m appears largely open, the environment contains dense shelving structures, glass partitions (transparent obstacles that depth sensors may misread), and low ambient contrast making precise navigation uncertain. The low-confidence YOLO ""train"" detection likely indicates sensor confusion from industrial racking. Recommend hovering to allow further scene assessment before committing to forward movement, especially given the glass partition risk at ~3.2m.",
gpt4o,door_open,safe,2,0.47,28.65,safe,272.64,2863.0,3164.8,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,91,0.00544,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear with no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data; detected objects (train, window) are not obstructing the path.
Proximity: Closest object is the door at approximately 3.2m, consistent with depth_m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,2,0.47,28.65,safe,272.64,3583.4,3885.2,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,81,0.000586,"Description: The image shows an indoor environment with a clear path and no visible obstacles or people within close proximity. The area appears well-lit and spacious, suggesting a navigable space for the drone. 

Sensor note: consistent 
Proximity: The closest object appears to be more than 3 meters away, consistent with the depth measurements provided. 
Risk: safe 
Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,2,0.47,28.65,safe,272.64,2563.7,2865.5,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,180,0.000133,"Description: The image shows an indoor environment with a partially open door or partition on the right, and a long corridor or room extending into the distance on the left. The flight path at ~1m appears clear directly ahead, though there are structures and furniture further back.
Sensor note: The YOLO detections of 'train' and 'window' are not visually apparent as direct obstacles in the immediate flight path. The 'window' detection might refer to the glass partition on the right. The local detector's brightness assessment seems consistent with the image.
Proximity: The closest significant structure appears to be the open door/partition on the right, visually estimated to be around 1-1.5m away. The YOLO 'window' detection at 3.2m seems to refer to a further part of this structure.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,3,0.5,27.92,safe,268.92,7483.1,7780.4,0,yolo-world,disabled,disabled,0.0,caution,0,4,1002,228,0.006426,"Description: The image shows a large indoor space (appears to be a warehouse or industrial building) with metal-framed glass partitions/walls in the foreground and an open area extending further back, with ceiling lights visible at depth. The immediate flight path at ~1m altitude appears partially obstructed by glass partition frames in the near foreground.

Sensor note: The YOLO ""train"" detection (conf=0.22) is very low confidence and likely a misclassification — no train is visible; this is probably a structural element or shelving. The ""window"" detection is consistent with the glass partition frames visible. Brightness=119/255 is consistent with the moderately lit scene observed.

Proximity: The closest objects are the metal-framed glass partition structures, visually estimated at approximately 1–2m from the camera, roughly consistent with the depth readings around 3.2–3.6m being background elements; the foreground frames appear closer than sensor depth suggests.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,door_open,safe,3,0.5,27.92,safe,268.92,2456.6,2753.9,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,90,0.005425,"Description: The image shows an indoor space with tables and a partially open door. The area appears clear with no immediate obstacles blocking the flight path at ~1m altitude.
Sensor note: Consistent with sensor data; detected objects (train, window) are not obstructing the path.
Proximity: Closest object is approximately 3.2m away, consistent with depth_m readings.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,3,0.5,27.92,safe,268.92,4106.2,4403.5,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,79,0.000585,"Description: The image shows an indoor environment with a clear path and no visible obstacles or persons within close proximity. The area appears well-lit and spacious, suggesting a navigable space for the drone. 

Sensor note: consistent

Proximity: The closest object appears to be more than 3 meters away, consistent with the depth measurements.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,3,0.5,27.92,safe,268.92,2656.8,2954.1,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,176,0.000132,"Description: The image shows an indoor office or industrial space with a partially open glass door on the right. The flight path appears clear at ~1m altitude, with objects visible further back in the room.
Sensor note: YOLO detected a 'window' which is consistent with the glass door/partition on the right. The 'train' detection is likely a false positive or refers to the general structure in the background, as no actual train is visible. The local detector's brightness assessment is consistent with the image.
Proximity: The closest visible object is the open glass door frame on the right, visually estimated to be around 1-1.5m away. YOLO's 'window' detection at 3.2m seems to refer to the further glass partition rather than the immediate door.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,4,0.59,30.25,safe,268.67,8710.5,9010.0,0,yolo-world,disabled,disabled,0.0,caution,0,3,1002,276,0.007146,"Description: The image shows a large indoor space (appears to be a warehouse or industrial facility) with glass partitions/frames in the foreground and an open area visible beyond, with ceiling-mounted lighting and structural elements overhead. The flight path at ~1m altitude appears relatively clear ahead, though glass partition frames are present on the sides.

Sensor note: The ""train"" detection (conf=0.22, COCO) at 3.6m is very low confidence and visually unconfirmed — likely a false positive from industrial equipment or shelving in the background. The ""window"" detection at 3.2m is consistent with the visible glass partition frames. Overall loosely consistent but the train classification is almost certainly erroneous.

Proximity: The closest objects are the glass partition/frame structures, visually estimated at approximately 0.5–1m to the right and left sides; forward path appears open beyond ~1–1.5m. Depth readings of 3.2–3.6m likely reflect background elements rather than the nearest frame edges.

Risk: caution

Pilot suggested action: HOVER — assess lateral clearance from glass partition frames before proceeding; consider YAW_LEFT or PITCH_FORWARD once clear corridor alignment is confirmed.",
gpt4o,door_open,safe,4,0.59,30.25,safe,268.67,2352.3,2651.8,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,73,0.00517,"Description: The image shows an indoor space with tables and a partially open door, suggesting a clear path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a window and a train at a distance.
Proximity: Closest object is the window at approximately 3.2m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,4,0.59,30.25,safe,268.67,3684.7,3984.2,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,80,0.000585,"Description: The image shows an indoor environment with a clear path and no visible obstacles or people within close proximity. The area appears well-lit and spacious, suggesting a navigable space for the drone. 

Sensor note: consistent

Proximity: The closest object appears to be more than 3 meters away, consistent with the depth measurements provided.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,4,0.59,30.25,safe,268.67,4190.6,4490.1,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,176,0.000132,"Description: The image shows an indoor office or industrial space with a partially open glass door on the right. The flight path appears clear at ~1m altitude, with objects visible further back in the room.
Sensor note: YOLO detected a 'window' which is consistent with the glass door/partition on the right. The 'train' detection is likely a false positive or refers to the general structure in the background, as no actual train is visible. The local detector's brightness assessment is consistent with the image.
Proximity: The closest visible object is the open glass door frame on the right, visually estimated to be around 1-1.5m away. YOLO's 'window' detection at 3.2m seems to refer to the further glass partition rather than the immediate door.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
claude,door_open,safe,5,0.48,29.16,safe,272.66,7463.6,7765.9,0,yolo-world,disabled,disabled,0.0,caution,0,4,1002,234,0.006516,"Description: The image shows a large indoor industrial or warehouse-like space with high ceilings, metal framing/shelving structures, glass partitions, and fluorescent lighting — the immediate foreground shows metal frame structures at roughly 1m altitude that could obstruct lateral flight, while the background opens up into a wider hall.
Sensor note: The YOLO ""train"" detection (conf=0.22) at 3.6m is very low confidence and likely a false positive — no train is visible; this is probably a misclassification of the shelving/frame structure. The ""window"" detection at 3.2m is plausible given the glass partitions visible. Overall the structural clutter is partially captured but the close metal framing in the foreground is not flagged by sensors.
Proximity: The closest objects are the metal frame/shelf structures visible in the immediate foreground, visually estimated at approximately 0.5–1m, consistent with the scene geometry — this is the primary concern.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,door_open,safe,5,0.48,29.16,safe,272.66,2422.6,2724.9,0,yolo-world,disabled,disabled,0.0,safe,1,5,815,78,0.005245,"Description: The image shows an indoor space with tables and a partially open door, suggesting a clear path at ~1m altitude.
Sensor note: Consistent with sensor data indicating a window and a train at a distance.
Proximity: Closest object is the door at approximately 3.2m, consistent with depth_m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,door_open,safe,5,0.48,29.16,safe,272.66,3237.0,3539.3,0,yolo-world,disabled,disabled,0.0,safe,1,5,3582,80,0.000585,"Description: The image shows an indoor environment with a clear path and no visible obstacles or people within close proximity. The area appears well-lit and spacious, suggesting a navigable space for the drone. 

Sensor note: consistent

Proximity: The closest object appears to be more than 3 meters away, consistent with the depth measurements provided.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
gemini,door_open,safe,5,0.48,29.16,safe,272.66,2255.5,2557.8,0,yolo-world,disabled,disabled,0.0,safe,1,5,1054,180,0.000133,"Description: The image shows an indoor environment with a partially open door or partition on the right, and a long corridor or room extending into the distance on the left. The flight path at ~1m appears clear directly ahead, though there are structures and furniture further back.
Sensor note: The YOLO detections of 'train' and 'window' are not visually apparent as direct obstacles in the immediate flight path. The 'window' detection might refer to the glass partition on the right. The local detector's brightness assessment seems consistent with the image.
Proximity: The closest significant structure appears to be the open door/partition on the right, visually estimated to be around 1-1.5m away. The YOLO 'window' detection at 3.2m seems to refer to a further part of this structure.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
claude,person_far,caution,1,0.53,30.65,hazard,272.7,60538.3,60842.2,0,yolo-world,disabled,disabled,0.0,,0,0,0,0,0.0,,The read operation timed out
gpt4o,person_far,caution,1,0.53,30.65,hazard,272.7,2337.5,2641.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,755,91,0.00514,"Description: The image shows an indoor room with a person standing in the center, surrounded by furniture and equipment. The scene is moderately cluttered but not overly obstructed.
Sensor note: The local detector's person detection is consistent with the image, though the confidence is low.
Proximity: The person appears to be approximately 0.5 meters away, consistent with the sensor's low-confidence estimate.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,1,0.53,30.65,hazard,272.7,3891.2,4195.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3522,102,0.000589,"Description: The image shows a person standing in a room with various objects, including a desk and a chair. The person appears to be approximately 0.45m away, which is close enough to be a concern for flight safety. 

Sensor note: The local detector indicates a person detected with low confidence, which aligns with my visual analysis. 

Proximity: The closest object/person is the individual, estimated at about 0.45m away. 

Risk: hazard  
Pilot suggested action: LAND",
gemini,person_far,caution,1,0.53,30.65,hazard,272.7,2260.4,2564.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,984,79,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual estimate confirms the close proximity.
Proximity: Person visually ~0.5m away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,2,0.53,39.09,hazard,270.89,8034.0,8344.5,0,yolo-world,disabled,disabled,0.0,caution,1,5,939,227,0.006222,"Description: The image shows an indoor industrial/workshop space with a person standing centrally at what appears to be moderate distance (~3-5m), with shelving units, machinery, and various equipment visible in the background; the scene is somewhat dim with overhead fluorescent lighting.

Sensor note: YOLO detections report none, but the local detector flags a person at ~0.45m (low confidence). Visually, the person appears significantly farther than 0.45m — likely 3-5m away — so the est_dist heuristic appears to be a false/grossly overestimated proximity reading. The person is real but not at close range.

Proximity: Closest significant object is the person, visually estimated at approximately 3-5m. No obstacles appear to be within the immediate ~1-2m flight corridor at ~1m altitude. A plastic chair is visible to the left at roughly 1-2m range and could be a minor concern.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,2,0.53,39.09,hazard,270.89,2093.5,2404.0,0,yolo-world,disabled,disabled,0.0,hazard,0,4,755,77,0.00493,"Description: The image shows an indoor environment with a person standing relatively close to the camera, surrounded by various furniture and equipment.
Sensor note: The local detector's person detection is consistent with the image, but the estimated distance may be slightly underestimated visually.
Proximity: The person appears to be approximately 0.5 meters away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,2,0.53,39.09,hazard,270.89,4094.6,4405.1,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3522,104,0.000591,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45m away, and there are no significant obstacles directly in the flight path. 

Sensor note: Discrepancy noted; local detector indicates a person with low confidence, but visual confirmation supports the presence of a person.

Proximity: The closest object/person is the detected person, estimated at ~0.45m away.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,2,0.53,39.09,hazard,270.89,2051.7,2362.2,0,yolo-world,disabled,disabled,0.0,hazard,0,4,984,79,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual estimate confirms the close proximity.
Proximity: Person visually ~0.5m away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,3,0.57,38.49,hazard,271.17,6857.5,7167.7,0,yolo-world,disabled,disabled,0.0,caution,1,5,939,216,0.006057,"Description: The image shows an indoor industrial/workshop space with a person standing near the center-background area, approximately 3-5 meters away, surrounded by machinery, shelving units, and various equipment. The scene is moderately lit with overhead fluorescent lighting.

Sensor note: YOLO detections report none, but the local detector flagged a person at ~0.45m (low confidence) — visually the person appears significantly farther away, estimated 3-5m, so the 0.45m distance estimate is likely a false/overestimated proximity reading. The person detection itself is consistent with the image.

Proximity: Closest significant object appears to be furniture/equipment at roughly 1.5-2m in the foreground (desk/chair on left); the person is visually ~3-5m away. No objects appear to be within the immediate <1m flight corridor at ~1m altitude.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_far,caution,3,0.57,38.49,hazard,271.17,3070.6,3380.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,755,95,0.0052,"Description: The image shows an indoor room with a person standing in the center, surrounded by furniture and equipment. The scene is moderately cluttered but not blocking the immediate flight path at ~1m altitude.
Sensor note: The local detector's person detection is consistent with the image, though the confidence is low.
Proximity: The person appears to be approximately 0.45m away, consistent with the sensor estimate.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,3,0.57,38.49,hazard,271.17,4300.5,4610.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3522,104,0.000591,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45m away, and there are no significant obstacles directly in the flight path. 

Sensor note: Discrepancy noted; local detector indicates a person with low confidence, but visual confirmation supports the presence of a person.

Proximity: The closest object/person is the individual detected, estimated at ~0.45m away.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,3,0.57,38.49,hazard,271.17,1949.2,2259.4,0,yolo-world,disabled,disabled,0.0,hazard,0,4,984,79,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual estimate confirms the close proximity.
Proximity: Person visually ~0.5m away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,4,0.44,40.49,hazard,273.51,8389.1,8703.5,0,yolo-world,disabled,disabled,0.0,hazard,0,3,939,278,0.006987,"Description: The image shows an indoor industrial/workshop space with a person standing approximately in the center-middle distance, surrounded by shelving units, equipment, and various clutter; the scene is dimly lit with overhead fluorescent lighting.
Sensor note: YOLO detections report none, but the local detector flags a person (conf=0.391, est_dist=~0.45m low-conf). Visually, the person appears to be significantly farther than 0.45m — likely 3–5m away based on their apparent size and position relative to the room structure. The low-confidence distance estimate appears unreliable; visual analysis overrides it.
Proximity: Closest significant object appears to be floor-level clutter and furniture (chairs, tables) in the foreground at roughly 1–2m; the person is visually estimated at ~3–5m depth.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** While the person does not appear to be within the hazard threshold (<1m), the dim lighting, foreground clutter (chairs and tables visible at ~1m flight corridor level), and sensor ambiguity warrant a cautious pause. The drone should hover and await clearer navigational confirmation before proceeding.",
gpt4o,person_far,caution,4,0.44,40.49,hazard,273.51,2557.6,2872.0,0,yolo-world,disabled,disabled,0.0,hazard,0,4,755,90,0.005125,"Description: The image shows an indoor room with a person standing in the center, surrounded by furniture and equipment. The scene is moderately cluttered but not blocking the immediate flight path.
Sensor note: The local detector's person detection is consistent with the image, though the confidence is low.
Proximity: The person appears to be approximately 0.5 meters away, consistent with the sensor estimate.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,4,0.44,40.49,hazard,273.51,4404.4,4718.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3522,135,0.000609,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45m away, based on the local detector's estimate, but the confidence is low. The environment is somewhat cluttered, with furniture present that could pose a risk if the drone were to navigate through the space.

Sensor note: Discrepancy between image and sensors; local detector indicates a person detected, but with low confidence. YOLO detections show none.

Proximity: The closest object/person is the detected person, estimated to be about 0.45m away.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,4,0.44,40.49,hazard,273.51,1538.9,1853.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,984,79,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual estimate confirms the close proximity.
Proximity: Person visually ~0.5m away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_far,caution,5,0.53,29.59,hazard,271.7,60528.2,60830.0,0,yolo-world,disabled,disabled,0.0,,0,0,0,0,0.0,,The read operation timed out
gpt4o,person_far,caution,5,0.53,29.59,hazard,271.7,2344.0,2645.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,755,84,0.005035,"Description: The image shows an indoor environment with a person standing in the center, surrounded by various furniture and equipment. The scene appears moderately cluttered.
Sensor note: The local detector's person detection is consistent with the image, but the estimated distance may be slightly underestimated visually.
Proximity: The person is visually estimated to be approximately 0.5 meters away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_far,caution,5,0.53,29.59,hazard,271.7,3583.9,3885.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,3522,101,0.000589,"Description: The image shows a person standing in a room with various objects and furniture around. The person appears to be approximately 0.45m away, and there are no significant obstacles directly in the flight path. 

Sensor note: Discrepancy noted; local detector indicates a person detected with low confidence, but visual confirmation supports this.

Proximity: The closest object/person is the detected person, estimated at ~0.45m away.

Risk: hazard

Pilot suggested action: HOVER",
gemini,person_far,caution,5,0.53,29.59,hazard,271.7,2256.5,2558.3,0,yolo-world,disabled,disabled,0.0,hazard,0,4,984,79,9.7e-05,"Description: A person is standing directly in front of the drone, appearing to block the immediate flight path. The background shows an indoor room with various objects and a door.
Sensor note: The local detector correctly identified a person, and my visual estimate confirms the close proximity.
Proximity: Person visually ~0.5m away.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,1,0.58,38.22,hazard,273.57,7976.6,8289.0,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,229,0.006165,"Description: The image shows pure visual noise/static — a pattern of random green, blue, and red pixels consistent with a camera sensor failure, lens cap, or complete signal loss rather than any real scene.
Sensor note: YOLO detects nothing and local detector reports very low brightness (35/255); both are consistent with a non-functional or obscured camera feed. The image provides zero usable visual information about the environment.
Proximity: Cannot be determined — image is entirely corrupted/static; no spatial information available. Depth data absent.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A non-functional camera feed means Tier 3 cognitive reasoning is effectively blind. The safety system cannot assess obstacles, persons, or flight path clearance. Operating a drone at ~1m altitude indoors without valid visual input violates the fundamental safety premise of this architecture. Immediate controlled landing is the only appropriate response — hovering in place while blind still poses collision risk over time. Do not proceed until camera feed is validated and restored.",
gpt4o,blocked_lens,hazard,1,0.58,38.22,hazard,273.57,2362.4,2674.8,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,70,0.0047,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or features clearly.
Sensor note: Consistent with the local detector's report of low brightness.
Proximity: Unable to visually estimate proximity due to image quality; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,1,0.58,38.22,hazard,273.57,3476.6,3789.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,97,0.000583,"Description: The image appears to be a dark, grainy scene with no discernible objects or features visible. The low brightness suggests limited visibility, which may indicate potential obstacles or hazards in the environment. 

Sensor note: Consistent; local detector indicates low brightness, aligning with the visual analysis. 

Proximity: Estimated closest object/person is likely within 2 meters, but visibility is too poor to confirm exact distance. 

Risk: Caution 

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,1,0.58,38.22,hazard,273.57,2666.0,2978.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,2,0.52,28.63,hazard,264.52,8102.7,8396.4,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,234,0.00624,"Description: The image shows pure visual noise/static — the camera feed appears to be completely corrupted or the lens is fully covered/obstructed, producing only random pixel patterns with no discernible scene content.
Sensor note: YOLO detections report none, and local detector reports low brightness (35/255), which is consistent with a non-functional or covered camera feed. However, the image is not simply dark — it is active static/noise, suggesting a hardware fault or physical lens obstruction rather than merely a dim environment.
Proximity: Cannot be determined — image is entirely corrupted static with no spatial information whatsoever; depth estimation is meaningless under these conditions.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A fully corrupted/covered camera feed means Tier 3 cognitive reasoning has no visual situational awareness. Per the risk rules, ""lens fully covered"" is an explicit hazard condition. With no ability to assess the flight environment, continued flight is unsafe regardless of other sensor states. Immediate controlled landing is the only safe response.",
gpt4o,blocked_lens,hazard,2,0.52,28.63,hazard,264.52,2763.5,3057.2,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,70,0.0047,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or features clearly.
Sensor note: Consistent with the local detector's report of low brightness.
Proximity: Unable to visually estimate proximity due to image quality; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,2,0.52,28.63,hazard,264.52,3375.7,3669.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,87,0.000577,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards. 

Sensor note: Consistent; local detector indicates low brightness, aligning with the visual analysis.

Proximity: Estimated closest object/person is likely beyond 1m, but visibility is poor.

Risk: Caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,2,0.52,28.63,hazard,264.52,1849.0,2142.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,3,0.51,30.9,hazard,269.56,9836.1,10137.1,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,276,0.00687,"Description: The image shows severe visual noise/static — a heavily corrupted feed with green, blue, and red pixel interference across the entire frame, consistent with a camera malfunction, lens obstruction, or critical sensor failure. No environmental features, obstacles, or clear visual information can be extracted.

Sensor note: YOLO detections return none, which is consistent with an unreadable image — however, the corruption itself is the hazard. Local detector reports low brightness (35/255), consistent with degraded/blocked feed. The image is not merely dark but actively corrupted, suggesting hardware or connection failure beyond simple low-light conditions.

Proximity: Indeterminate — visual analysis is impossible due to full-frame corruption. Cannot assess proximity to any object or person. Treating as unknown/hazard by default per safety protocol.

Risk: **hazard**

Pilot suggested action: **LAND**

> **Rationale:** A fully corrupted camera feed means Tier 3 cognitive reasoning has lost its primary input. Operating a drone at ~1m altitude indoors without reliable visual data violates core safety margins. With no ability to assess obstacles, persons, or flight path clearance, the only safe action is immediate controlled landing to prevent collision with undetected hazards.",
gpt4o,blocked_lens,hazard,3,0.51,30.9,hazard,269.56,2195.9,2496.9,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,70,0.0047,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or features clearly.
Sensor note: Consistent with the local detector's advisory of low brightness.
Proximity: Unable to visually estimate proximity due to image quality; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
